zone,pd,vrs,enc,lv_min,lv_max,rate_m,rate_d,rate_n
rout-9,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
rout-9,Goldeen,HG/SS,Fishing (Good Rod),20,,40,,
rout-9,Magikarp,HG/SS,Fishing (Good Rod),20,,60,,
rout-9,Goldeen,HG/SS,Fishing (Super Rod),40,,70,,
rout-9,Seaking,HG/SS,Fishing (Super Rod),40,,10,,
rout-9,Magikarp,HG/SS,Fishing (Super Rod),40,,20,,
rout-9,Sableye,HG,Swarm,13,15,40,,
rout-9,Mawile,SS,Swarm,13,15,40,,
rout-9,Linoone,HG/SS,Hoenn Sound,13,,20,,
rout-9,Whismur,HG/SS,Hoenn Sound,13,15,20,,
rout-9,Bidoof,HG/SS,Sinnoh Sound,13,,20,,
rout-9,Buizel,HG/SS,Sinnoh Sound,13,15,20,,
rout-10,Raticate,HG/SS,Grass,16,18,25,20,25
rout-10,Spearow,HG/SS,Grass,16,,30,30,0
rout-10,Fearow,HG/SS,Grass,18,,10,10,0
rout-10,Voltorb,HG/SS,Grass,17,,30,30,30
rout-10,Electabuzz,HG/SS,Grass,15,18,5,10,5
rout-10,Quagsire,HG/SS,Grass,16,18,0,0,40
rout-10,Goldeen,HG/SS,Surfing,10,15,90,,
rout-10,Seaking,HG/SS,Surfing,15,,10,,
rout-10,Goldeen,HG/SS,Fishing (Old Rod),10,,15,,
rout-10,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
rout-10,Goldeen,HG/SS,Fishing (Good Rod),20,,40,,
rout-10,Magikarp,HG/SS,Fishing (Good Rod),20,,60,,
rout-10,Goldeen,HG/SS,Fishing (Super Rod),40,,70,,
rout-10,Seaking,HG/SS,Fishing (Super Rod),40,,10,,
rout-10,Magikarp,HG/SS,Fishing (Super Rod),40,,20,,
rout-10,Linoone,HG/SS,Hoenn Sound,16,,20,,
rout-10,Whismur,HG/SS,Hoenn Sound,16,17,20,,
rout-10,Bidoof,HG/SS,Sinnoh Sound,16,,20,,
rout-10,Buizel,HG/SS,Sinnoh Sound,16,17,20,,
rout-10,Zapdos,HG/SS,sp,50,,,,
rout-11,Rattata,HG/SS,Grass,15,,30,30,30
rout-11,Magnemite,HG/SS,Grass,15,,20,20,20
rout-11,Drowzee,HG/SS,Grass,14,16,40,40,40
rout-11,Hypno,HG/SS,Grass,16,,10,10,10
rout-11,Spearow,HG/SS,Headbutt (Group A),13,14,50,,
rout-11,Heracross,HG/SS,Headbutt (Group A),13,14,30,,
rout-11,Combee,HG/SS,Headbutt (Group A),13,14,20,,
rout-11,Spearow,HG/SS,Headbutt (Group B),15,16,80,,
rout-11,Combee,HG/SS,Headbutt (Group B),15,16,20,,
rout-11,Plusle,HG/SS,Hoenn Sound,14,15,20,,
rout-11,Minun,HG/SS,Hoenn Sound,15,,20,,
rout-11,Shinx,HG/SS,Sinnoh Sound,14,15,40,,
rout-12,Tentacool,HG/SS,Surfing,25,,60,,
rout-12,Tentacruel,HG/SS,Surfing,25,,30,,
rout-12,Quagsire,HG/SS,Surfing,25,,10,,
rout-12,Tentacool,HG/SS,Fishing (Old Rod),10,,15,,
rout-12,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
rout-12,Tentacool,HG/SS,Fishing (Good Rod),20,,40,,
rout-12,Magikarp,HG/SS,Fishing (Good Rod),20,,60,,
rout-12,Tentacool,HG/SS,Fishing (Super Rod),40,,70,,
rout-12,Magikarp,HG/SS,Fishing (Super Rod),40,,20,,
rout-12,Qwilfish,HG/SS,Fishing (Super Rod),40,,10,,
rout-12,Hoothoot,HG/SS,Headbutt (Group A),22,23,50,,
rout-12,Ledyba,SS,Headbutt (Group A),22,23,30,,
rout-12,Spinarak,HG,Headbutt (Group A),22,23,30,,
rout-12,Wurmple,HG/SS,Headbutt (Group A),22,23,20,,
rout-12,Tangela,HG/SS,Headbutt (Group B),24,25,15,,
rout-12,Hoothoot,HG/SS,Headbutt (Group B),24,25,65,,
rout-12,Wurmple,HG/SS,Headbutt (Group B),24,25,20,,
rout-12,Relicanth,HG/SS,Swarm (Old Rod),10,,15,,
rout-12,Relicanth,HG/SS,Swarm (Good Rod),20,,55,,
rout-12,Relicanth,HG/SS,Swarm (Super Rod),40,,100,,
rout-13,Pidgeotto,HG/SS,Grass,25,,20,20,0
rout-13,Nidorina,HG/SS,Grass,23,,30,30,30
rout-13,Nidorino,HG/SS,Grass,23,,30,30,30
rout-13,Chansey,HG/SS,Grass,25,,1,1,1
rout-13,Noctowl,HG/SS,Grass,25,,0,0,20
rout-13,Hoppip,HG/SS,Grass,22,24,19,19,0
rout-13,Quagsire,HG/SS,Grass,22,24,0,0,19
rout-13,Tentacool,HG/SS,Surfing,25,,60,,
rout-13,Tentacruel,HG/SS,Surfing,25,,10,,
rout-13,Quagsire,HG/SS,Surfing,25,,30,,
rout-13,Tentacool,HG/SS,Fishing (Old Rod),10,,15,,
rout-13,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
rout-13,Tentacool,HG/SS,Fishing (Good Rod),20,,40,,
rout-13,Magikarp,HG/SS,Fishing (Good Rod),20,,60,,
rout-13,Tentacool,HG/SS,Fishing (Super Rod),40,,70,,
rout-13,Magikarp,HG/SS,Fishing (Super Rod),40,,20,,
rout-13,Qwilfish,HG/SS,Fishing (Super Rod),40,,10,,
rout-13,Hoothoot,HG/SS,Headbutt (Group A),22,23,50,,
rout-13,Ledyba,SS,Headbutt (Group A),22,23,30,,
rout-13,Spinarak,HG,Headbutt (Group A),22,23,30,,
rout-13,Wurmple,HG/SS,Headbutt (Group A),22,23,20,,
rout-13,Tangela,HG/SS,Headbutt (Group B),24,25,15,,
rout-13,Hoothoot,HG/SS,Headbutt (Group B),24,25,65,,
rout-13,Wurmple,HG/SS,Headbutt (Group B),24,25,20,,
rout-13,Chansey,HG/SS,Swarm,23,25,40,,
rout-13,Linoone,HG/SS,Hoenn Sound,25,,20,,
rout-13,Whismur,HG/SS,Hoenn Sound,23,,20,,
rout-13,Bidoof,HG/SS,Sinnoh Sound,25,,20,,
rout-13,Buizel,HG/SS,Sinnoh Sound,23,,20,,
rout-14,Pidgeotto,HG/SS,Grass,25,,20,20,0
rout-14,Nidorina,HG/SS,Grass,23,,30,30,30
rout-14,Nidorino,HG/SS,Grass,23,,30,30,30
rout-14,Chansey,HG/SS,Grass,25,,1,1,1
rout-14,Noctowl,HG/SS,Grass,25,,0,0,20
rout-14,Hoppip,HG/SS,Grass,24,,10,10,0
rout-14,Skiploom,HG/SS,Grass,26,,9,9,0
rout-14,Quagsire,HG/SS,Grass,24,26,0,0,19
rout-14,Hoothoot,HG/SS,Headbutt (Group A),26,27,50,,
rout-14,Ledyba,SS,Headbutt (Group A),26,27,30,,
rout-14,Spinarak,HG,Headbutt (Group A),26,27,30,,
rout-14,Wurmple,HG/SS,Headbutt (Group A),26,27,20,,
rout-14,Tangela,HG/SS,Headbutt (Group B),29,30,15,,
rout-14,Hoothoot,HG/SS,Headbutt (Group B),29,30,65,,
rout-14,Wurmple,HG/SS,Headbutt (Group B),29,30,20,,
rout-14,Plusle,HG/SS,Hoenn Sound,23,,20,,
rout-14,Minun,HG/SS,Hoenn Sound,25,,20,,
rout-14,Shinx,HG/SS,Sinnoh Sound,23,25,40,,
rout-15,Pidgeotto,HG/SS,Grass,25,,20,20,0
rout-15,Nidorina,HG/SS,Grass,23,,30,30,30
rout-15,Nidorino,HG/SS,Grass,23,,30,30,30
rout-15,Chansey,HG/SS,Grass,25,,1,1,1
rout-15,Noctowl,HG/SS,Grass,25,,0,0,20
rout-15,Hoppip,HG/SS,Grass,22,24,19,19,0
rout-15,Quagsire,HG/SS,Grass,22,24,0,0,19
rout-15,Hoothoot,HG/SS,Headbutt (Group A),21,23,50,,
rout-15,Ledyba,SS,Headbutt (Group A),21,23,30,,
rout-15,Spinarak,HG,Headbutt (Group A),21,23,30,,
rout-15,Wurmple,HG/SS,Headbutt (Group A),21,23,20,,
rout-15,Tangela,HG/SS,Headbutt (Group B),24,26,15,,
rout-15,Hoothoot,HG/SS,Headbutt (Group B),24,26,65,,
rout-15,Wurmple,HG/SS,Headbutt (Group B),24,26,20,,
rout-15,Plusle,HG/SS,Hoenn Sound,23,,20,,
rout-15,Minun,HG/SS,Hoenn Sound,25,,20,,
rout-15,Shinx,HG/SS,Sinnoh Sound,23,25,40,,
rout-16,Fearow,HG/SS,Grass,27,29,40,40,0
rout-16,Grimer,HG/SS,Grass,26,28,50,50,80
rout-16,Muk,HG/SS,Grass,30,,5,5,5
rout-16,Murkrow,HG/SS,Grass,29,,0,0,10
rout-16,Slugma,HG/SS,Grass,27,,5,5,5
rout-16,Spearow,HG/SS,Headbutt (Group A),26,27,50,,
rout-16,Heracross,HG/SS,Headbutt (Group A),26,27,30,,
rout-16,Combee,HG/SS,Headbutt (Group A),26,27,20,,
rout-16,Spearow,HG/SS,Headbutt (Group B),29,30,80,,
rout-16,Combee,HG/SS,Headbutt (Group B),29,30,20,,
rout-16,Plusle,HG/SS,Hoenn Sound,26,27,20,,
rout-16,Minun,HG/SS,Hoenn Sound,28,,20,,
rout-16,Shinx,HG/SS,Sinnoh Sound,26,28,40,,
rout-17,Fearow,HG/SS,Grass,28,30,40,40,0
rout-17,Grimer,HG/SS,Grass,27,29,50,20,80
rout-17,Muk,HG/SS,Grass,32,,5,5,15
rout-17,Slugma,HG/SS,Grass,27,29,5,35,5
rout-17,Plusle,HG/SS,Hoenn Sound,27,28,20,,
rout-17,Minun,HG/SS,Hoenn Sound,29,,20,,
rout-17,Shinx,HG/SS,Sinnoh Sound,27,29,40,,
rout-18,Fearow,HG/SS,Grass,27,29,40,40,0
rout-18,Grimer,HG/SS,Grass,26,28,50,50,80
rout-18,Muk,HG/SS,Grass,29,30,5,5,15
rout-18,Slugma,HG/SS,Grass,27,,5,5,5
rout-18,Hoothoot,HG/SS,Headbutt (Group A),26,27,50,,
rout-18,Ledyba,SS,Headbutt (Group A),26,27,30,,
rout-18,Spinarak,HG,Headbutt (Group A),26,27,30,,
rout-18,Wurmple,HG/SS,Headbutt (Group A),26,27,20,,
rout-18,Tangela,HG/SS,Headbutt (Group B),29,30,15,,
rout-18,Hoothoot,HG/SS,Headbutt (Group B),29,30,65,,
rout-18,Wurmple,HG/SS,Headbutt (Group B),29,30,20,,
rout-18,Plusle,HG/SS,Hoenn Sound,26,27,20,,
rout-18,Minun,HG/SS,Hoenn Sound,28,,20,,
rout-18,Shinx,HG/SS,Sinnoh Sound,26,28,40,,
rout-19,Tentacool,HG/SS,Surfing,30,35,90,,
rout-19,Tentacruel,HG/SS,Surfing,35,,10,,
rout-19,Krabby,HG/SS,Fishing (Old Rod),10,,15,,
rout-19,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
rout-19,Krabby,HG/SS,Fishing (Good Rod),20,,50,50,50
rout-19,Staryu,HG/SS,Fishing (Good Rod),20,,0,0,10
rout-19,Magikarp,HG/SS,Fishing (Good Rod),20,,40,40,40
rout-19,Corsola,HG/SS,Fishing (Good Rod),20,,10,10,0
rout-19,Krabby,HG/SS,Fishing (Super Rod),40,,60,60,60
rout-19,Kingler,HG/SS,Fishing (Super Rod),40,,10,10,10
rout-19,Staryu,HG/SS,Fishing (Super Rod),40,,0,0,30
rout-19,Corsola,HG/SS,Fishing (Super Rod),40,,30,30,0
rout-19,Krabby,HG/SS,Rock Smash,24,27,80,,
rout-19,Kingler,HG/SS,Rock Smash,28,31,20,,
rout-19,Clamperl,HG/SS,Swarm,35,,60,,
rout-20,Tentacool,HG/SS,Surfing,30,35,90,,
rout-20,Tentacruel,HG/SS,Surfing,35,,10,,
rout-20,Tentacool,HG/SS,Fishing (Old Rod),10,,15,,
rout-20,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
rout-20,Tentacool,HG/SS,Fishing (Good Rod),20,,30,,
rout-20,Shellder,HG/SS,Fishing (Good Rod),20,,10,,
rout-20,Magikarp,HG/SS,Fishing (Good Rod),20,,40,,
rout-20,Chinchou,HG/SS,Fishing (Good Rod),20,,20,,
rout-20,Tentacruel,HG/SS,Fishing (Super Rod),40,,20,,
rout-20,Shellder,HG/SS,Fishing (Super Rod),40,,30,,
rout-20,Chinchou,HG/SS,Fishing (Super Rod),40,,40,,
rout-20,Lanturn,HG/SS,Fishing (Super Rod),40,,10,,
rout-21,Tangela,HG/SS,Grass,20,35,95,90,95
rout-21,Mr. Mime,HG/SS,Grass,28,30,5,10,5
rout-21,Tentacool,HG/SS,Surfing,30,35,90,,
rout-21,Tentacruel,HG/SS,Surfing,35,,10,,
rout-21,Tentacool,HG/SS,Fishing (Old Rod),10,,15,,
rout-21,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
rout-21,Tentacool,HG/SS,Fishing (Good Rod),20,,30,,
rout-21,Shellder,HG/SS,Fishing (Good Rod),20,,10,,
rout-21,Magikarp,HG/SS,Fishing (Good Rod),20,,40,,
rout-21,Chinchou,HG/SS,Fishing (Good Rod),20,,20,,
rout-21,Tentacruel,HG/SS,Fishing (Super Rod),40,,20,,
rout-21,Shellder,HG/SS,Fishing (Super Rod),40,,30,,
rout-21,Chinchou,HG/SS,Fishing (Super Rod),40,,40,,
rout-21,Lanturn,HG/SS,Fishing (Super Rod),40,,10,,
rout-21,Hoothoot,HG/SS,Headbutt (Group A),24,26,50,,
rout-21,Ledyba,SS,Headbutt (Group A),24,26,30,,
rout-21,Spinarak,HG,Headbutt (Group A),24,26,30,,
rout-21,Wurmple,HG/SS,Headbutt (Group A),24,26,20,,
rout-21,Tangela,HG/SS,Headbutt (Group B),27,30,15,,
rout-21,Hoothoot,HG/SS,Headbutt (Group B),27,30,65,,
rout-21,Wurmple,HG/SS,Headbutt (Group B),27,30,20,,
rout-21,Linoone,HG/SS,Hoenn Sound,35,,20,,
rout-21,Whismur,HG/SS,Hoenn Sound,25,30,20,,
rout-21,Bidoof,HG/SS,Sinnoh Sound,35,,20,,
rout-21,Buizel,HG/SS,Sinnoh Sound,25,30,20,,
rout-22,Rattata,HG/SS,Grass,3,7,30,30,95
rout-22,Spearow,HG/SS,Grass,3,5,50,50,0
rout-22,Fearow,HG/SS,Grass,7,,5,5,0
rout-22,Ponyta,HG/SS,Grass,6,,5,5,5
rout-22,Doduo,HG/SS,Grass,4,,10,10,0
rout-22,Poliwag,HG/SS,Surfing,5,10,90,,
rout-22,Poliwhirl,HG/SS,Surfing,10,,10,,
rout-22,Poliwag,HG/SS,Fishing (Old Rod),10,,15,,
rout-22,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
rout-22,Poliwag,HG/SS,Fishing (Good Rod),20,,40,,
rout-22,Magikarp,HG/SS,Fishing (Good Rod),20,,60,,
rout-22,Poliwag,HG/SS,Fishing (Super Rod),40,,80,,
rout-22,Magikarp,HG/SS,Fishing (Super Rod),40,,20,,
rout-22,Hoothoot,HG/SS,Headbutt (Group A),3,4,50,,
rout-22,Pineco,HG/SS,Headbutt (Group A),3,4,30,,
rout-22,Wurmple,HG/SS,Headbutt (Group A),3,4,20,,
rout-22,Hoothoot,HG/SS,Headbutt (Group B),5,7,50,,
rout-22,Ledyba,SS,Headbutt (Group B),5,7,30,,
rout-22,Spinarak,HG,Headbutt (Group B),5,7,30,,
rout-22,Wurmple,HG/SS,Headbutt (Group B),5,7,20,,
rout-22,Linoone,HG/SS,Hoenn Sound,5,,20,,
rout-22,Whismur,HG/SS,Hoenn Sound,3,,20,,
rout-22,Bidoof,HG/SS,Sinnoh Sound,5,,20,,
rout-22,Buizel,HG/SS,Sinnoh Sound,3,,20,,
rout-24,Bellsprout,HG/SS,Grass,8,10,60,35,5
rout-24,Abra,HG/SS,Grass,9,,20,20,20
rout-24,Weepinbell,HG/SS,Grass,12,14,15,15,10
rout-24,Venonat,HG/SS,Grass,8,,5,0,30
rout-24,Sunkern,HG/SS,Grass,10,,0,30,0
rout-24,Oddish,HG/SS,Grass,10,,0,0,30
rout-24,Venomoth,HG/SS,Grass,14,,0,0,5
rout-24,Goldeen,HG/SS,Surfing,5,10,90,,
rout-24,Seaking,HG/SS,Surfing,10,,10,,
rout-24,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
rout-24,Goldeen,HG/SS,Fishing (Old Rod),10,,15,,
rout-24,Goldeen,HG/SS,Fishing (Good Rod),20,,60,,
rout-24,Magikarp,HG/SS,Fishing (Good Rod),20,,40,,
rout-24,Goldeen,HG/SS,Fishing (Super Rod),40,,70,,
rout-24,Magikarp,HG/SS,Fishing (Super Rod),40,,20,,
rout-24,Seaking,HG/SS,Fishing (Super Rod),40,,10,,
rout-24,Linoone,HG/SS,Hoenn Sound,9,,20,,
rout-24,Whismur,HG/SS,Hoenn Sound,8,10,20,,
rout-24,Bidoof,HG/SS,Sinnoh Sound,9,,20,,
rout-24,Buizel,HG/SS,Sinnoh Sound,8,10,20,,
rout-25,Abra,HG/SS,Grass,9,,10,10,10
rout-25,Pidgey,HG/SS,Grass,8,,30,50,0
rout-25,Bellsprout,HG/SS,Grass,10,14,30,30,5
rout-25,Venonat,HG/SS,Grass,8,10,20,0,30
rout-25,Pidgeotto,HG/SS,Grass,10,,5,5,0
rout-25,Weepinbell,HG/SS,Grass,10,14,5,5,5
rout-25,Oddish,HG/SS,Grass,10,,0,0,30
rout-25,Venomoth,HG/SS,Grass,8,,0,0,20
rout-25,Goldeen,HG/SS,Surfing,5,10,90,,
rout-25,Seaking,HG/SS,Surfing,10,,10,,
rout-25,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
rout-25,Goldeen,HG/SS,Fishing (Old Rod),10,,15,,
rout-25,Magikarp,HG/SS,Fishing (Good Rod),20,,60,,
rout-25,Goldeen,HG/SS,Fishing (Good Rod),20,,40,,
rout-25,Goldeen,HG/SS,Fishing (Super Rod),40,,70,,
rout-25,Magikarp,HG/SS,Fishing (Super Rod),40,,20,,
rout-25,Seaking,HG/SS,Fishing (Super Rod),40,,10,,
rout-25,Hoothoot,HG/SS,Headbutt (Group A),10,11,50,,
rout-25,Pineco,HG/SS,Headbutt (Group A),10,11,30,,
rout-25,Combee,HG/SS,Headbutt (Group A),10,11,20,,
rout-25,Hoothoot,HG/SS,Headbutt (Group B),13,14,80,,
rout-25,Combee,HG/SS,Headbutt (Group B),13,14,20,,
rout-25,Slakoth,HG/SS,Headbutt (sp),10,14,30,,
rout-25,Slakoth,HG/SS,Headbutt (sp),15,18,5,,
rout-25,Combee,HG/SS,Headbutt (sp),10,14,65,,
rout-25,Buneary,HG/SS,Swarm,8,10,40,,
rout-25,Linoone,HG/SS,Hoenn Sound,8,,20,,
rout-25,Whismur,HG/SS,Hoenn Sound,8,10,20,,
rout-25,Bidoof,HG/SS,Sinnoh Sound,8,,20,,
rout-25,Buizel,HG/SS,Sinnoh Sound,8,10,20,,
rout-25,Suicune,HG/SS,sp,40,,,,
rout-26,Raticate,HG,Grass,28,30,5,5,35
rout-26,Raticate,SS,Grass,28,30,35,35,65
rout-26,Arbok,SS,Grass,30,,5,5,5
rout-26,Sandslash,HG,Grass,28,,30,30,30
rout-26,Ponyta,HG/SS,Grass,32,,20,20,20
rout-26,Doduo,HG/SS,Grass,28,30,40,40,5
rout-26,Dodrio,HG,Grass,30,,5,5,0
rout-26,Quagsire,HG,Grass,30,,0,0,10
rout-26,Quagsire,SS,Grass,30,,0,0,5
rout-26,Tentacool,HG/SS,Surfing,25,30,90,,
rout-26,Tentacruel,HG/SS,Surfing,30,,10,,
rout-26,Tentacool,HG/SS,Fishing (Old Rod),10,,15,,
rout-26,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
rout-26,Tentacool,HG/SS,Fishing (Good Rod),20,,30,,
rout-26,Shellder,HG/SS,Fishing (Good Rod),20,,10,,
rout-26,Magikarp,HG/SS,Fishing (Good Rod),20,,40,,
rout-26,Chinchou,HG/SS,Fishing (Good Rod),20,,20,,
rout-26,Tentacruel,HG/SS,Fishing (Super Rod),40,,20,,
rout-26,Shellder,HG/SS,Fishing (Super Rod),40,,30,,
rout-26,Chinchou,HG/SS,Fishing (Super Rod),40,,40,,
rout-26,Lanturn,HG/SS,Fishing (Super Rod),40,,10,,
rout-26,Exeggcute,HG/SS,Headbutt (Group A),28,29,20,,
rout-26,Hoothoot,HG/SS,Headbutt (Group A),28,29,50,,
rout-26,Pineco,HG/SS,Headbutt (Group A),28,29,30,,
rout-26,Exeggcute,HG/SS,Headbutt (Group B),31,32,20,,
rout-26,Hoothoot,HG/SS,Headbutt (Group B),31,32,50,,
rout-26,Ledyba,SS,Headbutt (Group B),31,32,30,,
rout-26,Spinarak,HG,Headbutt (Group B),31,32,30,,
rout-26,Linoone,HG/SS,Hoenn Sound,32,,20,,
rout-26,Whismur,HG/SS,Hoenn Sound,28,,20,,
rout-26,Bidoof,HG/SS,Sinnoh Sound,32,,20,,
rout-26,Buizel,HG/SS,Sinnoh Sound,28,,20,,
rout-27,Raticate,HG,Grass,28,,30,5,5
rout-27,Raticate,SS,Grass,30,,50,5,35
rout-27,Arbok,SS,Grass,30,,5,5,5
rout-27,Sandslash,HG,Grass,30,,5,5,5
rout-27,Ponyta,HG/SS,Grass,32,,20,20,20
rout-27,Doduo,HG,Grass,28,,30,5,5
rout-27,Dodrio,HG,Grass,30,,5,5,5
rout-27,Quagsire,HG,Grass,28,,30,0,5
rout-27,Quagsire,SS,Grass,30,,0,0,5
rout-27,Tentacool,HG/SS,Surfing,15,20,90,,
rout-27,Tentacruel,HG/SS,Surfing,30,,10,,
rout-27,Tentacool,HG/SS,Fishing (Old Rod),10,,15,,
rout-27,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
rout-27,Tentacool,HG/SS,Fishing (Good Rod),20,,30,,
rout-27,Shellder,HG/SS,Fishing (Good Rod),20,,10,,
rout-27,Magikarp,HG/SS,Fishing (Good Rod),20,,40,,
rout-27,Chinchou,HG/SS,Fishing (Good Rod),20,,40,,
rout-27,Tentacruel,HG/SS,Fishing (Super Rod),40,,20,,
rout-27,Shellder,HG/SS,Fishing (Super Rod),40,,30,,
rout-27,Chinchou,HG/SS,Fishing (Super Rod),40,,60,,
rout-27,Lanturn,HG/SS,Fishing (Super Rod),40,,10,,
rout-27,Exeggcute,HG/SS,Headbutt (Group A),28,,20,,
rout-27,Hoothoot,HG/SS,Headbutt (Group A),28,,50,,
rout-27,Pineco,HG/SS,Headbutt (Group A),28,,30,,
rout-27,Exeggcute,HG/SS,Headbutt (Group B),31,,20,,
rout-27,Hoothoot,HG/SS,Headbutt (Group B),31,,50,,
rout-27,Ledyba,HG,Headbutt (Group B),31,,30,,
rout-27,Spinarak,HG,Headbutt (Group B),31,,30,,
rout-27,Linoone,HG/SS,Hoenn Sound,30,,20,,
rout-27,Whismur,HG/SS,Hoenn Sound,28,,20,,
rout-27,Bidoof,HG/SS,Sinnoh Sound,30,,20,,
rout-27,Buizel,HG/SS,Sinnoh Sound,28,,20,,
rout-28,Ponyta,HG/SS,Grass,40,,30,30,30
rout-28,Tangela,HG/SS,Grass,39,,30,30,30
rout-28,Donphan,HG,Grass,40,,20,20,20
rout-28,Ursaring,SS,Grass,40,,20,20,20
rout-28,Rapidash,HG/SS,Grass,41,43,10,10,10
rout-28,Doduo,HG/SS,Grass,41,,5,5,0
rout-28,Dodrio,HG/SS,Grass,43,,5,5,0
rout-28,Sneasel,HG/SS,Grass,42,,0,0,10
rout-28,Poliwag,HG/SS,Surfing,35,40,90,,
rout-28,Poliwhirl,HG/SS,Surfing,40,,10,,
rout-28,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
rout-28,Poliwag,HG/SS,Fishing (Old Rod),10,,15,,
rout-28,Magikarp,HG/SS,Fishing (Good Rod),20,,60,,
rout-28,Poliwag,HG/SS,Fishing (Good Rod),20,,40,,
rout-28,Poliwag,HG/SS,Fishing (Super Rod),40,,80,,
rout-28,Magikarp,HG/SS,Fishing (Super Rod),40,,20,,
rout-28,Natu,HG/SS,Headbutt (Group A),39,40,20,,
rout-28,Aipom,HG/SS,Headbutt (Group A),39,40,30,,
rout-28,Heracross,HG/SS,Headbutt (Group A),39,40,50,,
rout-28,Natu,HG/SS,Headbutt (Group B),41,43,20,,
rout-28,Aipom,HG/SS,Headbutt (Group B),41,43,30,,
rout-28,Heracross,HG/SS,Headbutt (Group B),41,43,50,,
rout-28,Linoone,HG/SS,Hoenn Sound,40,,20,,
rout-28,Whismur,HG/SS,Hoenn Sound,39,40,20,,
rout-28,Bidoof,HG/SS,Sinnoh Sound,40,,20,,
rout-28,Buizel,HG/SS,Sinnoh Sound,39,40,20,,
rout-29,Pidgey,HG/SS,Grass,2,4,55,55,0
rout-29,Rattata,HG/SS,Grass,2,4,5,5,15
rout-29,Sentret,HG/SS,Grass,2,3,40,40,0
rout-29,Hoothoot,HG/SS,Grass,2,4,0,0,85
rout-29,Exeggcute,HG/SS,Headbutt (Group A),2,3,20,,
rout-29,Hoothoot,HG/SS,Headbutt (Group A),2,3,50,,
rout-29,Pineco,HG/SS,Headbutt (Group A),2,3,30,,
rout-29,Exeggcute,HG/SS,Headbutt (Group B),4,5,20,,
rout-29,Hoothoot,HG/SS,Headbutt (Group B),4,5,50,,
rout-29,Ledyba,SS,Headbutt (Group B),4,5,30,,
rout-29,Spinarak,HG,Headbutt (Group B),4,5,30,,
rout-29,Plusle,HG/SS,Hoenn Sound,3,,20,,
rout-29,Minun,HG/SS,Hoenn Sound,2,3,20,,
rout-29,Shinx,HG/SS,Sinnoh Sound,2,3,40,,
rout-30,Caterpie,HG,Grass,3,4,50,35,0
rout-30,Metapod,HG,Grass,4,,10,15,0
rout-30,Weedle,SS,Grass,3,4,50,35,0
rout-30,Kakuna,SS,Grass,4,,10,15,0
rout-30,Pidgey,HG,Grass,2,4,40,50,0
rout-30,Pidgey,SS,Grass,3,4,10,50,0
rout-30,Rattata,HG/SS,Grass,3,4,0,0,40
rout-30,Hoothoot,HG,Grass,4,,0,0,30
rout-30,Hoothoot,SS,Grass,3,4,0,0,60
rout-30,Ledyba,SS,Grass,3,,30,0,0
rout-30,Spinarak,HG,Grass,2,,0,0,30
rout-30,Poliwag,HG/SS,Surfing,10,25,90,,
rout-30,Poliwhirl,HG/SS,Surfing,15,32,10,,
rout-30,Poliwag,HG/SS,Fishing (Old Rod),10,,15,,
rout-30,Magikarp,HG/SS,Fishing (Old Rod),10,,85,,
rout-30,Poliwag,HG/SS,Fishing (Good Rod),20,,40,,
rout-30,Magikarp,HG/SS,Fishing (Good Rod),20,,60,,
rout-30,Poliwag,HG/SS,Fishing (Super Rod),40,,80,,
rout-30,Magikarp,HG/SS,Fishing (Super Rod),40,,20,,
rout-30,Exeggcute,HG/SS,Headbutt (Group A),2,3,20,,
rout-30,Hoothoot,HG/SS,Headbutt (Group A),2,3,50,,
rout-30,Pineco,HG/SS,Headbutt (Group A),2,3,30,,
rout-30,Exeggcute,HG/SS,Headbutt (Group B),4,5,20,,
rout-30,Hoothoot,HG/SS,Headbutt (Group B),4,5,50,,
rout-30,Ledyba,SS,Headbutt (Group B),4,5,30,,
rout-30,Spinarak,HG,Headbutt (Group B),4,5,30,,
rout-30,Linoone,HG/SS,Hoenn Sound,4,,20,,
rout-30,Whismur,HG/SS,Hoenn Sound,2,3,20,,
rout-30,Bidoof,HG/SS,Sinnoh Sound,4,,20,,
rout-30,Buizel,HG/SS,Sinnoh Sound,2,3,20,,
rout-31,Caterpie,HG,Grass,4,5,35,35,0
rout-31,Metapod,HG,Grass,5,,15,15,0
rout-31,Weedle,SS,Grass,4,5,30,35,0
rout-31,Kakuna,SS,Grass,5,,10,15,0
rout-31,Pidgey,HG,Grass,3,,30,30,0
rout-31,Pidgey,SS,Grass,4,5,10,30,0
rout-31,Rattata,HG/SS,Grass,4,5,0,0,40
