item_code,item_img,item_name_en,item_name_ja,item_desc_en,item_desc_ja,item_price_buy_ye,item_price_sel_ye,item_price_buy_bp,item_price_buy_cn,item_price_buy_ap,item_flin,item_type_code,item_pkt_code,item_cat_code
ovalstone,oval-stone,Oval Stone,まんまるいし,A peculiar stone that makes certain species of Pokémon evolve. It is shaped like an egg.,ある とくていの ポケモンを しんかさせる ふしぎな いし。 たまのように まるい。,null,1050,null,null,null,80,item,ip-item,ic-evo
oddkeystone,odd-keystone,Odd Keystone,かなめいし,A vital item that is needed to keep a stone tower from collapsing. Voices can be heard from it occasionally.,これがないと いしのとうが くずれてしまう だいじないし。ときどき いしから こえがきこえる。,null,1050,null,null,null,80,item,ip-item,ic-item
adamantorb,adamant-orb,Adamant Orb,こんごうだま,"When Dialga holds it, the power of its Steel and Dragon-type moves is increased by 20%.",ディアルガに持たせると、ドラゴンタイプとはがねタイプの技の威力が1.2倍になる。,null,5000,null,null,null,60,item,ip-item,ic-com
lustrousorb,lustrous-orb,Lustrous Orb,しらたま,"When Palkia holds it, the power of its Water and Dragon-type moves is increased by 20%.",パルキアに持たせると、ドラゴンタイプとみずタイプの技の威力が1.2倍になる。,null,5000,null,null,null,60,item,ip-item,ic-com
grassmail,grass-mail,Grass Mail,グラスメール,Stationery featuring a print of a refreshingly green field. Let a Pokémon hold it for delivery.,さわやかな みどりの そうげんが プリントされた びんせん。ポケモンに もたせて つかう。,50,25,null,null,null,30,item,ip-item,ic-mail
flamemail,flame-mail,Flame Mail,フレイムメール,Stationery featuring a print of flames in blazing red. Let a Pokémon hold it for delivery.,まっかに もえあがる ほのおが プリントされた びんせん。ポケモンに もたせて つかう。,50,25,null,null,null,30,item,ip-item,ic-mail
bubblemail,bubble-mail,Bubble Mail,ブルーメール,Stationery featuring a print of a blue world underwater. Let a Pokémon hold it for delivery.,あおい みずの せかいが プリントされた びんせん。ポケモンに もたせて つかう。,50,25,null,null,null,30,item,ip-item,ic-mail
bloommail,bloom-mail,Bloom Mail,ブルームメール,Stationery featuring a print of pretty floral patterns. Let a Pokémon hold it for delivery.,きれいな はながら もようが プリントされた びんせん。ポケモンに もたせて つかう。,50,25,null,null,null,30,item,ip-item,ic-mail
tunnelmail,tunnel-mail,Tunnel Mail,トンネルメール,Stationery featuring a print of a dimly lit coal mine. Let a Pokémon hold it for delivery.,うすぐらい たんこうの せかいが プリントされた びんせん。ポケモンに もたせて つかう。,50,25,null,null,null,30,item,ip-item,ic-mail
steelmail,steel-mail,Steel Mail,スチールメール,Stationery featuring a print of cool mechanical designs. Let a Pokémon hold it for delivery.,かっこいい きかいの もようが プリントされた びんせん。ポケモンに もたせて つかう。,50,25,null,null,null,30,item,ip-item,ic-mail
heartmail,heart-mail,Heart Mail,ラブラブメール,Stationery featuring a print of giant heart patterns. Let a Pokémon hold it for delivery.,おおきな ハートの えがらが プリントされた びんせん。ポケモンに もたせて つかう。,50,25,null,null,null,30,item,ip-item,ic-mail
snowmail,snow-mail,Snow Mail,ブリザードメール,"Stationery featuring a print of a chilly, snow-covered world. Let a Pokémon hold it for delivery.",さむそうな ゆきの せかいが プリントされた びんせん。ポケモンに もたせて つかう。,50,25,null,null,null,30,item,ip-item,ic-mail
spacemail,space-mail,Space Mail,スペースメール,Stationery featuring a print depicting the huge expanse of space. Let a Pokémon hold it for delivery.,ゆうだいな うちゅう くうかんが プリントされた びんせん。ポケモンに もたせて つかう。,50,25,null,null,null,30,item,ip-item,ic-mail
airmail,air-mail,Air Mail,エアメール,Stationery featuring a print of colorful letter sets. Let a Pokémon hold it for delivery.,カラフルな びんせんの えがらが プリントされた びんせん。ポケモンに もたせて つかう。,50,25,null,null,null,30,item,ip-item,ic-mail
mosaicmail,mosaic-mail,Mosaic Mail,モザイクメール,Stationery featuring a print of a vivid rainbow pattern. Let a Pokémon hold it for delivery.,あざやかな にじいろ もようが プリントされた びんせん。 ポケモンに もたせて つかう。,null,25,null,null,null,30,item,ip-item,ic-mail
brickmail,brick-mail,Brick Mail,ブリックメール,Stationery featuring a print of a tough-looking brick pattern. Let a Pokémon hold it for delivery.,かたそうな レンガの えがらが プリントされた びんせん。 ポケモンに もたせて つかう。,null,25,null,null,null,30,item,ip-item,ic-mail
cheriberry,cheri-berry,Cheri Berry,クラボのみ,A Poffin ingredient. It may be used or held by a Pokémon to recover from paralysis.,ポケモンに つかったり もたせたりすると まひを かいふくする。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
chestoberry,chesto-berry,Chesto Berry,カゴのみ,A Poffin ingredient. It may be used or held by a Pokémon to recover from sleep.,ポケモンに つかったり もたせたりすると ねむりを かいふくする。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
pechaberry,pecha-berry,Pecha Berry,モモンのみ,A Poffin ingredient. It may be used or held by a Pokémon to recover from poison.,ポケモンに つかったり もたせたりすると どくを かいふくする。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
rawstberry,rawst-berry,Rawst Berry,チーゴのみ,A Poffin ingredient. It may be used or held by a Pokémon to recover from a burn.,ポケモンに つかったり もたせたりすると やけどを かいふくする。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
aspearberry,aspear-berry,Aspear Berry,ナナシのみ,A Poffin ingredient. It may be used or held by a Pokémon to defrost it.,ポケモンに つかったり もたせたりすると こおりを かいふくする。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
leppaberry,leppa-berry,Leppa Berry,ヒメリのみ,A Poffin ingredient. It may be used or held by a Pokémon to restore a move’s PP by 10.,ポケモンに つかったり もたせたりすると PPを 10だけ かいふくする。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
oranberry,oran-berry,Oran Berry,オレンのみ,A Poffin ingredient. It may be used or held by a Pokémon to heal the user by just 10 HP.,ポケモンに つかったり もたせたりすると HPを 10だけ かいふくする。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
persimberry,persim-berry,Persim Berry,キーのみ,A Poffin ingredient. It may be used or held by a Pokémon to recover from confusion.,ポケモンに つかったり もたせたりすると こんらんを かいふくする。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
lumberry,lum-berry,Lum Berry,ラムのみ,A Poffin ingredient. It may be used or held by a Pokémon to recover from any status problem.,ポケモンに つかったり もたせたりすると すべての じょうたい いじょうを かいふくする。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
sitrusberry,sitrus-berry,Sitrus Berry,オボンのみ,A Poffin ingredient. It may be used or held by a Pokémon to heal the user’s HP a little.,ポケモンに つかったり もたせたりすると HPを すこしだけ かいふくする。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
figyberry,figy-berry,Figy Berry,フィラのみ,"A Poffin ingredient. If held by a Pokémon, it restores the user’s HP in a pinch, but may also cause confusion.",もたせると ピンチのとき HPを かいふく できる。からい あじが きらいだと こんらんも してしまう。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
wikiberry,wiki-berry,Wiki Berry,ウイのみ ,"A Poffin ingredient. If held by a Pokémon, it restores the user’s HP in a pinch, but may also cause confusion.",もたせると ピンチのとき HPを かいふく できる。しぶい あじが きらいだと こんらんも してしまう。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
magoberry,mago-berry,Mago Berry,マゴのみ,"A Poffin ingredient. If held by a Pokémon, it restores the user’s HP in a pinch, but may also cause confusion.",もたせると ピンチのとき HPを かいふく できる。あまい あじが きらいだと こんらんも してしまう。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
aguavberry,aguav-berry,Aguav Berry,バンジのみ,"A Poffin ingredient. If held by a Pokémon, it restores the user’s HP in a pinch, but may also cause confusion.",もたせると ピンチのとき HPを かいふく できる。にがい あじが きらいだと こんらんも してしまう。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
iapapaberry,iapapa-berry,Iapapa Berry,イアのみ,"A Poffin ingredient. If held by a Pokémon, it restores the user’s HP in a pinch, but may also cause confusion.",もたせると ピンチのとき HPを かいふく できる。すっぱい あじが きらいだと こんらんも してしまう。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
razzberry,razz-berry,Razz Berry,ズリのみ,A Poffin ingredient. Bury it in soft soil to grow a Razz Plant.,シンオウちほうでは ポフィン という ポケモンに あげる おかしの ざいりょうとして ゆうめい。,null,10,null,null,null,10,item,ip-berr,ic-berr
blukberry,bluk-berry,Bluk Berry,ブリーのみ,A Poffin ingredient. Bury it in soft soil to grow a Bluk Plant.,シンオウちほうでは ポフィン という ポケモンに あげる おかしの ざいりょうとして ゆうめい。,null,10,null,null,null,10,item,ip-berr,ic-berr
nanabberry,nanab-berry,Nanab Berry,ナナのみ,A Poffin ingredient. Bury it in soft soil to grow a Nanab Plant.,シンオウちほうでは ポフィン という ポケモンに あげる おかしの ざいりょうとして ゆうめい。,null,10,null,null,null,10,item,ip-berr,ic-berr
wepearberry,wepear-berry,Wepear Berry,セシナのみ,A Poffin ingredient. Bury it in soft soil to grow a Wepear Plant.,シンオウちほうでは ポフィン という ポケモンに あげる おかしの ざいりょうとして ゆうめい。,null,10,null,null,null,10,item,ip-berr,ic-berr
pinapberry,pinap-berry,Pinap Berry,パイルのみ,A Poffin ingredient. Bury it in soft soil to grow a Pinap Plant.,シンオウちほうでは ポフィン という ポケモンに あげる おかしの ざいりょうとして ゆうめい。,null,10,null,null,null,10,item,ip-berr,ic-berr
pomegberry,pomeg-berry,Pomeg Berry,ザロクのみ,"A Poffin ingredient. Using it on a Pokémon makes it more friendly, but it also lowers its base HP.",ポケモンに あげると とても なつき やすくなるが HPの きそポイントは さがる。,null,10,null,null,null,10,item,ip-berr,ic-berr-ev
kelpsyberry,kelpsy-berry,Kelpsy Berry,ネコブのみ,"A Poffin ingredient. Using it on a Pokémon makes it more friendly, but it also lowers its base Attack stat.",ポケモンに あげると とても なつき やすくなるが こうげきの きそポイントは さがる。,null,10,null,null,null,10,item,ip-berr,ic-berr-ev
qualotberry,qualot-berry,Qualot Berry,タポルのみ,"A Poffin ingredient. Using it on a Pokémon makes it more friendly, but it also lowers its base Defense stat.",ポケモンに あげると とても なつき やすくなるが ぼうぎょの きそポイントは さがる。,null,10,null,null,null,10,item,ip-berr,ic-berr-ev
hondewberry,hondew-berry,Hondew Berry,ロメのみ,"A Poffin ingredient. Using it on a Pokémon makes it more friendly, but it also lowers its base Sp. Atk stat.",ポケモンに あげると とても なつき やすくなるが とくこうの きそポイントは さがる。,null,10,null,null,null,10,item,ip-berr,ic-berr-ev
grepaberry,grepa-berry,Grepa Berry,ウブのみ,"A Poffin ingredient. Using it on a Pokémon makes it more friendly, but it also lowers its base Sp. Def stat.",ポケモンに あげると とても なつき やすくなるが とくぼうの きそポイントは さがる。,null,10,null,null,null,10,item,ip-berr,ic-berr-ev
tamatoberry,tamato-berry,Tamato Berry,マトマのみ,"A Poffin ingredient. Using it on a Pokémon makes it more friendly, but it also lowers its base Speed stat.",ポケモンに あげると とても なつき やすくなるが すばやさの きそポイントは さがる。,null,10,null,null,null,10,item,ip-berr,ic-berr-ev
cornnberry,cornn-berry,Cornn Berry,モコシのみ,A Poffin ingredient. Bury it in soft soil to grow a Cornn Plant.,シンオウちほうでは ポフィン という ポケモンに あげる おかしの ざいりょうとして ゆうめい。,null,10,null,null,null,10,item,ip-berr,ic-berr
magostberry,magost-berry,Magost Berry,ゴスのみ,A Poffin ingredient. Bury it in soft soil to grow a Magost Plant.,シンオウちほうでは ポフィン という ポケモンに あげる おかしの ざいりょうとして ゆうめい。,null,10,null,null,null,10,item,ip-berr,ic-berr
rabutaberry,rabuta-berry,Rabuta Berry,ラブタのみ,A Poffin ingredient. Bury it in soft soil to grow a Rabuta Plant.,シンオウちほうでは ポフィン という ポケモンに あげる おかしの ざいりょうとして ゆうめい。,null,10,null,null,null,10,item,ip-berr,ic-berr
nomelberry,nomel-berry,Nomel Berry,ノメルのみ,A Poffin ingredient. Bury it in soft soil to grow a Nomel Plant.,シンオウちほうでは ポフィン という ポケモンに あげる おかしの ざいりょうとして ゆうめい。,null,10,null,null,null,10,item,ip-berr,ic-berr
spelonberry,spelon-berry,Spelon Berry,ノワキのみ,A Poffin ingredient. Bury it in soft soil to grow a Spelon Plant.,シンオウちほうでは ポフィン という ポケモンに あげる おかしの ざいりょうとして ゆうめい。,null,10,null,null,null,10,item,ip-berr,ic-berr
pamtreberry,pamtre-berry,Pamtre Berry,シーヤのみ,A Poffin ingredient. Bury it in soft soil to grow a Pamtre Plant.,シンオウちほうでは ポフィン という ポケモンに あげる おかしの ざいりょうとして ゆうめい。,null,10,null,null,null,10,item,ip-berr,ic-berr
watmelberry,watmel-berry,Watmel Berry,カイスのみ,A Poffin ingredient. Bury it in soft soil to grow a Watmel Plant.,シンオウちほうでは ポフィン という ポケモンに あげる おかしの ざいりょうとして ゆうめい。,null,10,null,null,null,10,item,ip-berr,ic-berr
durinberry,durin-berry,Durin Berry,ドリのみ,A Poffin ingredient. Bury it in soft soil to grow a Durin Plant.,シンオウちほうでは ポフィン という ポケモンに あげる おかしの ざいりょうとして ゆうめい。,null,10,null,null,null,10,item,ip-berr,ic-berr
belueberry,belue-berry,Belue Berry,ベリブのみ,A Poffin ingredient. Bury it in soft soil to grow a Belue Plant.,シンオウちほうでは ポフィン という ポケモンに あげる おかしの ざいりょうとして ゆうめい。,null,10,null,null,null,10,item,ip-berr,ic-berr
occaberry,occa-berry,Occa Berry,オッカのみ,"A Poffin ingredient. If held by a Pokémon, it weakens a foe’s supereffective Fire-type attack.",ポケモンに もたせると こうかばつぐんの ほのお わざを うけたとき いりょくが よわまる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
passhoberry,passho-berry,Passho Berry,イトケのみ,"A Poffin ingredient. If held by a Pokémon, it weakens a foe’s supereffective Water-type attack.",もたせると こうかばつぐんの みず わざを うけたとき いりょくが よわまる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
wacanberry,wacan-berry,Wacan Berry,ソクノのみ,"A Poffin ingredient. If held by a Pokémon, it weakens a foe’s supereffective Electric-type attack.",もたせると こうかばつぐんの でんき わざを うけたとき いりょくが よわまる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
rindoberry,rindo-berry,Rindo Berry,リンドのみ,"A Poffin ingredient. If held by a Pokémon, it weakens a foe’s supereffective Grass-type attack.",もたせると こうかばつぐんの くさ わざを うけたとき いりょくが よわまる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
yacheberry,yache-berry,Yache Berry,ヤチェのみ,"A Poffin ingredient. If held by a Pokémon, it weakens a foe’s supereffective Ice-type attack.",もたせると こうかばつぐんの こおり わざを うけたとき いりょくが よわまる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
chopleberry,chople-berry,Chople Berry,ヨプのみ,"A Poffin ingredient. If held by a Pokémon, it weakens a foe’s supereffective Fighting-type attack.",もたせると こうかばつぐんの かくとう わざを うけたとき いりょくが よわまる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
kebiaberry,kebia-berry,Kebia Berry,ビアーのみ,"A Poffin ingredient. If held by a Pokémon, it weakens a foe’s supereffective Poison-type attack.",もたせると こうかばつぐんの どく わざを うけたとき いりょくが よわまる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
shucaberry,shuca-berry,Shuca Berry,シュカのみ,"A Poffin ingredient. If held by a Pokémon, it weakens a foe’s supereffective Ground-type attack.",もたせると こうかばつぐんの じめん わざを うけたとき いりょくが よわまる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
cobaberry,coba-berry,Coba Berry,バコウのみ,"A Poffin ingredient. If held by a Pokémon, it weakens a foe’s supereffective Flying-type attack.",もたせると こうかばつぐんの ひこう わざを うけたとき いりょくが よわまる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
payapaberry,payapa-berry,Payapa Berry,ウタンのみ,"A Poffin ingredient. If held by a Pokémon, it weakens a foe’s supereffective Psychic-type attack.",もたせると こうかばつぐんの エスパー わざを うけたとき いりょくが よわまる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
tangaberry,tanga-berry,Tanga Berry,タンガのみ,"A Poffin ingredient. If held by a Pokémon, it weakens a foe’s supereffective Bug-type attack.",もたせると こうかばつぐんの むし わざを うけたとき いりょくが よわまる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
chartiberry,charti-berry,Charti Berry,ヨロギのみ,"A Poffin ingredient. If held by a Pokémon, it weakens a foe’s supereffective Rock-type attack.",もたせると こうかばつぐんの いわ わざを うけたとき いりょくが よわまる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
kasibberry,kasib-berry,Kasib Berry,カシブのみ,"A Poffin ingredient. If held by a Pokémon, it weakens a foe’s supereffective Ghost-type attack.",もたせると こうかばつぐんの ゴースト わざを うけたとき いりょくが よわまる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
habanberry,haban-berry,Haban Berry,ハバンのみ,"A Poffin ingredient. If held by a Pokémon, it weakens a foe’s supereffective Dragon-type attack.",もたせると こうかばつぐんの ドラゴン わざを うけたとき いりょくが よわまる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
colburberry,colbur-berry,Colbur Berry,ナモのみ,"A Poffin ingredient. If held by a Pokémon, it weakens a foe’s supereffective Dark-type attack.",もたせると こうかばつぐんの あく わざを うけたとき いりょくが よわまる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
babiriberry,babiri-berry,Babiri Berry,リリバのみ,"A Poffin ingredient. If held by a Pokémon, it weakens a foe’s supereffective Steel-type attack.",もたせると こうかばつぐんの はがね わざを うけたとき いりょくが よわまる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
chilanberry,chilan-berry,Chilan Berry,ホズのみ,"A Poffin ingredient. If held by a Pokémon, it weakens a foe’s Normal-type attack.",もたせると ノーマル わざを うけたとき いりょくが よわまる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
liechiberry,liechi-berry,Liechi Berry,チイラのみ,"A Poffin ingredient. If held by a Pokémon, it raises its Attack stat in a pinch.",ポケモンに もたせると ピンチのとき じぶんの こうげきが あがる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
ganlonberry,ganlon-berry,Ganlon Berry,リュガのみ,"A Poffin ingredient. If held by a Pokémon, it raises its Defense stat in a pinch.",ポケモンに もたせると ピンチのとき じぶんの ぼうぎょが あがる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
salacberry,salac-berry,Salac Berry,カムラのみ,"A Poffin ingredient. If held by a Pokémon, it raises its Speed stat in a pinch.",ポケモンに もたせると ピンチのとき じぶんの すばやさが あがる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
petayaberry,petaya-berry,Petaya Berry,ヤタピのみ,"A Poffin ingredient. If held by a Pokémon, it raises its Sp. Atk stat in a pinch.",ポケモンに もたせると ピンチのとき じぶんの とくこうが あがる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
apicotberry,apicot-berry,Apicot Berry,ズアのみ,"A Poffin ingredient. If held by a Pokémon, it raises its Sp. Def stat in a pinch.",ポケモンに もたせると ピンチのとき じぶんの とくぼうが あがる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
lansatberry,lansat-berry,Lansat Berry,サンのみ,"A Poffin ingredient. If held by a Pokémon, it raises its critical-hit ratio in a pinch.",ポケモンに もたせると ピンチのとき こうげきが きゅうしょに あたりやすくなる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
starfberry,starf-berry,Starf Berry,スターのみ,"A Poffin ingredient. If held by a Pokémon, it sharply raises one of its stats in a pinch.",ポケモンに もたせると ピンチのとき どれか 1つの のうりょくが ぐーんと あがる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
enigmaberry,enigma-berry,Enigma Berry,ナゾのみ,"A Poffin ingredient. If held by a Pokémon, it restores its HP by 25% of its maximum HP if it is hit by a foe’s supereffective attack.",ポケモンに もたせると こうかばつぐんの わざを うけたとき HPを かいふくする。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
micleberry,micle-berry,Micle Berry,ミクルのみ,"A Poffin ingredient. If held by a Pokémon, it raises the accuracy of a move just once in a pinch.",ポケモンに もたせると ピンチのとき いちどだけ わざの めいちゅうりつが あがる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
custapberry,custap-berry,Custap Berry,イバンのみ,"A Poffin ingredient. If held by a Pokémon, it gets to move first just once in a pinch.",ポケモンに もたせると ピンチのとき いちどだけ こうどうが はやくなる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
jabocaberry,jaboca-berry,Jaboca Berry,ジャポのみ,"A Poffin ingredient. If held by a Pokémon, and if a foe’s physical attack lands, the foe also takes damage.",ポケモンに もたせると ぶつりわざを うけたとき あいてにも ダメージを あたえる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
rowapberry,rowap-berry,Rowap Berry,レンブのみ,"A Poffin ingredient. If held by a Pokémon, and if a foe’s special attack lands, the foe also takes damage.",ポケモンに もたせると とくしゅわざを うけたとき あいてにも ダメージを あたえる。,null,10,null,null,null,10,item,ip-berr,ic-berr-com
brightpowder,bright-powder,BrightPowder,ひかりのこな,This hold item raises the holder's evasion by 10%,持たせたポケモンに対するわざの命中率が0.9倍になる。,null,5,48,null,null,10,item,ip-item,ic-com
whiteherb,white-herb,White Herb,しろいハーブ,An item to be held by a Pokémon. It restores any lowered stat in battle. It can be used only once.,持たせると、能力がマイナスになったとき0に戻す。1度発動すると無くなる。,null,50,32,null,null,10,item,ip-item,ic-com
machobrace,macho-brace,Macho Brace,きょうせいギプス,"This item, when held, doubles the Effort Values the Pokémon earns from each battle. However, it lowers the Pokémon's Speed.",ポケモンに持たせるとすばやさが半分になるが、戦闘でもらえる努力値が2倍になる。,null,1500,null,null,null,60,item,ip-item,ic-item
exp.share,exp-share,Exp. Share,がくしゅうそうち,"This item, when held by a Pokémon, allows it to earn half the EXP gained from defeating a Pokémon, regardless of if it was used in battle or not.",がくしゅうそうちを持たせると、戦闘に参加していないポケモンも経験値が貰える。,null,1500,null,null,null,30,item,ip-item,ic-item
quickclaw,quick-claw,Quick Claw,せんせいのツメ,"When this item is held, the user has a 18.75% chance of attacking first if the moves all Pokémon use are within the same Speed Priority level.",持たせたポケモンは、毎ターン18.75%の確率で、同じ優先度の行動の中で最初に行動できるようになる。,null,50,null,null,null,80,item,ip-item,ic-com
soothebell,soothe-bell,Soothe Bell,やすらぎのすず,"When this item is held by a Pokémon, the Happiness earned by the Pokémon is doubled.",持たせるとなつき度の上昇量が1.5倍になる。,null,50,null,null,null,10,item,ip-item,ic-item
mentalherb,mental-herb,Mental Herb,メンタルハーブ,An item to be held by a Pokémon. It snaps the holder out of infatuation. It can be used only once.,もたせた ポケモンが メロメロの じょうたいに なったときに いちどだけ かいふくする。,null,50,null,null,null,10,item,ip-item,ic-com
choiceband,choice-band,Choice Band,こだわりハチマキ,"When this item is being held, the user's Attack is increased by 50%, but the Pokémon is limited to using the first attack it uses until it is withdrawn from battle.",ポケモンに持たせると、最初に選択したわざしか使用できなくなるが、こうげきが1.5倍になる。,null,50,48,null,null,10,item,ip-item,ic-choi
kingsrock,kings-rock,King's Rock,おうじゃのしるし,"When this item is held by a Pokémon, the likelihood of the opponent flinching from a damaging attack by this Pokémon is increased by 10 %.",ポケモンに持たせると、攻撃したとき10%の確率で相手をひるませる。,null,50,null,null,3000,30,item,ip-item,ic-evo
silverpowder,silver-powder,SilverPowder,ぎんのこな,"When this item is held, any Bug-type move used by the holder has its power increased by 20%.",持たせると、むしタイプのわざの威力が1.2倍になる。,null,50,null,null,null,10,item,ip-item,ic-com
amuletcoin,amulet-coin,Amulet Coin,おまもりこばん,"If a Pokémon that is holding this item is sent into a Trainer battle, the money earned from the battle is doubled.",持たせたポケモンが一度でも戦闘に出ると、賞金が2倍になる。,null,50,null,null,null,30,item,ip-item,ic-item
cleansetag,cleanse-tag,Cleanse Tag,きよめのおふだ,"If this item is held by the first Pokémon in your party, random wild Pokémon of a level lower than the holder will appear 66.6666% of the time.",先頭のポケモンに持たせると、野生ポケモンが出る確率が2/3になる。,null,100,null,null,null,30,item,ip-item,ic-item
souldew,soul-dew,Soul Dew,こころのしずく,"If the Soul Dew is attached to Latios or Latias, the holder's Special Attack and Special Defence is increased by 50%.",ラティオスかラティアスに持たせると、とくこうととくぼうを1.5倍にする。,null,100,null,null,null,30,item,ip-item,ic-com
deepseatooth,deep-sea-tooth,DeepSeaTooth,しんかいのキバ,"If the DeepSeaTooth is held by Clamperl, the holder's Special Attack is doubled.",パールルに持たせると、とくこうが2倍になる。,null,100,null,null,null,90,item,ip-item,ic-evo
deepseascale,deep-sea-scale,DeepSeaScale,しんかいのウロコ,"If the DeepSeaScale is held by Clamperl, the holder's Special Defence is doubled.",パールルに持たせると、とくぼうが2倍になる。,null,100,null,null,null,30,item,ip-item,ic-evo
smokeball,smoke-ball,Smoke Ball,けむりだま,"If this item is held by a Pokémon and you try to run away, you will be guaranteed to run.",持たせたポケモンは野生ポケモンから必ず逃げられる。,null,100,null,null,null,30,item,ip-item,ic-item
everstone,everstone,Everstone,かわらずのいし,"When this item is held by a Pokémon, it will be prevented from evolving by Level Up means.",持たせたポケモンは進化しなくなる。,null,100,null,null,null,30,item,ip-item,ic-item
focusband,focus-band,Focus Band,きあいのハチマキ,"If this item is given to a Pokémon to hold and they are damaged by an attack that would knock it out, this item gives the Pokémon a 10% chance of preventing a Knock Out and keeping the holder at 1HP.",ひんし状態になる攻撃技のダメージを受けても10%の確率でHPを1残して耐える。,null,100,48,null,null,10,item,ip-item,ic-com
luckyegg,lucky-egg,Lucky Egg,しあわせタマゴ,"When the Pokémon holding this item gains EXP, the EXP gained is increased by 50%.",持たせたポケモンは、戦闘後に貰える経験値が1.5倍に増える。,null,100,null,null,null,30,item,ip-item,ic-item
scopelens,scope-lens,Scope Lens,ピントレンズ,"When held by a Pokémon, the Pokémon's Critical Hit ratio is raised by 1.",持たせたポケモンは、使用する技の急所ランクが1段階上がる。,null,100,48,null,null,30,item,ip-item,ic-com
metalcoat,metal-coat,Metal Coat,メタルコート,"When this item is held, any Steel-type move used by the holder has its power increased by 20%.",持たせると、はがねタイプのわざの威力が1.2倍になる。,null,50,null,null,2500,30,item,ip-item,ic-evo
leftovers,leftovers,Leftovers,たべのこし,"When this item is held, at the end of every turn, the holder regains 1/16th of their maximum HP.",ポケモンに持たせておくと、毎ターン終了時にHPが最大の1/16分だけ回復する。,null,100,null,null,null,10,item,ip-item,ic-com
dragonscale,dragon-scale,Dragon Scale,りゅうのウロコ,A thick and tough scale. Dragon-type Pokémon may be holding this item when caught.,かたくて じょうぶな ウロコ。ドラゴンタイプの ポケモンが もっていることが ある。,null,1050,null,null,2500,30,item,ip-item,ic-evo
lightball,light-ball,Light Ball,でんきだま,"If held by a Pikachu, it doubles the power of its moves.",ピカチュウに持たせると、使用する技の威力が2倍になる。,null,50,null,null,null,30,item,ip-item,ic-com
softsand,soft-sand,Soft Sand,やわらかいすな,"When this item is held, any Ground-type move used by the holder has its power increased by 20%.",持たせると、じめんタイプのわざの威力が1.2倍になる。,null,50,null,null,null,10,item,ip-item,ic-com
hardstone,hard-stone,Hard Stone,かたいいし,"When this item is held, any Rock-type move used by the holder has its power increased by 20%.",持たせると、いわタイプのわざの威力が1.2倍になる。,null,50,null,null,null,100,item,ip-item,ic-com
miracleseed,miracle-seed,Miracle Seed,きせきのタネ,"When this item is held, any Grass-type move used by the holder has its power increased by 20%.",持たせると、くさタイプのわざの威力が1.2倍になる。,null,50,null,null,null,30,item,ip-item,ic-com
blackglasses,black-glasses,BlackGlasses,くろいメガネ,"When this item is held, any Dark-type move used by the holder has its power increased by 20%.",持たせると、あくタイプのわざの威力が1.2倍になる。,null,50,null,null,null,30,item,ip-item,ic-com
